basis,ansatz,variant,n_qubits,depth,seeds_expected,seeds_present,rho_A_lite_seeds_identifiable,rho_A_lite_seeds_estimable,rho_A_lite_fraction_expected,rho_A_lite_cell_estimable,rho_A_lite_vif_median,rho_A_lite_vif_p90,rho_A_lite_kappa_median,rho_nu_lite_seeds_identifiable,rho_nu_lite_seeds_estimable,rho_nu_lite_fraction_expected,rho_nu_lite_cell_estimable,rho_nu_lite_vif_median,rho_nu_lite_vif_p90,rho_nu_lite_kappa_median,route_required_stats,seeds_route_estimable,estimable_fraction_expected,estimable_fraction_present,cell_estimable,structural_notes
lite,hva,lso_grid,4,8,30,30,30,24,0.8,True,2.3729515949299094,33.534910040881286,2.7539626378032063,30,24,0.8,True,2.3729515949299085,33.534910040881286,2.753962637803208,rho_A_lite;rho_nu_lite,24,0.8,0.8,True,
lite,hva,lso_grid,6,4,30,30,30,21,0.7,True,5.415734732731793,26.441152529909008,4.436517128680157,30,21,0.7,True,5.415734732731793,26.441152529909008,4.436517128680156,rho_A_lite;rho_nu_lite,21,0.7,0.7,True,
lite,hva,lso_grid,6,6,30,30,30,25,0.8333333333333334,True,4.49436371552007,34.44197767679527,4.069128937470923,30,25,0.8333333333333334,True,4.494363715520068,34.44197767679527,4.069128937470925,rho_A_lite;rho_nu_lite,25,0.8333333333333334,0.8333333333333334,True,
lite,hva,lso_grid,6,8,30,30,30,22,0.7333333333333333,True,4.466172202246504,43.26628452453317,4.054390147569895,30,22,0.7333333333333333,True,4.466172202246504,43.26628452453317,4.054390147569897,rho_A_lite;rho_nu_lite,22,0.7333333333333333,0.7333333333333333,True,
lite,hva,lso_grid,8,4,30,30,30,18,0.6,False,6.827874959822086,18.984875469419922,5.283789729465396,30,18,0.6,False,6.827874959822083,18.984875469419922,5.283789729465396,rho_A_lite;rho_nu_lite,18,0.6,0.6,False,
lite,hva,lso_grid,8,6,30,30,30,27,0.9,True,2.990441377751968,10.7268997274131,3.1560168316746475,30,27,0.9,True,2.990441377751968,10.7268997274131,3.156016831674646,rho_A_lite;rho_nu_lite,27,0.9,0.9,True,
lite,hva,lso_grid,8,8,30,30,30,23,0.7666666666666667,True,2.214871666726073,24.64692968167893,2.6016364352768173,30,23,0.7666666666666667,True,2.214871666726073,24.64692968167893,2.601636435276819,rho_A_lite;rho_nu_lite,23,0.7666666666666667,0.7666666666666667,True,
lite,hva,lso_grid,10,4,30,30,30,22,0.7333333333333333,True,5.758378744997505,25.788253137714456,4.6720389294152245,30,22,0.7333333333333333,True,5.758378744997503,25.788253137714456,4.672038929415224,rho_A_lite;rho_nu_lite,22,0.7333333333333333,0.7333333333333333,True,
lite,hva,lso_grid,10,6,30,30,30,28,0.9333333333333333,True,3.29663013386938,6.6736481728231505,3.331401593369687,30,28,0.9333333333333333,True,3.29663013386938,6.6736481728231505,3.331401593369687,rho_A_lite;rho_nu_lite,28,0.9333333333333333,0.9333333333333333,True,
lite,hva,lso_grid,10,8,30,30,30,23,0.7666666666666667,True,3.348267244057422,51.036540575889546,3.374302763521737,30,23,0.7666666666666667,True,3.348267244057424,51.036540575889546,3.3743027635217384,rho_A_lite;rho_nu_lite,23,0.7666666666666667,0.7666666666666667,True,
lite,hva,lso_pcgrad,4,4,30,30,30,12,0.4,False,33.59047213508814,740.7686415059209,11.725367714928968,30,12,0.4,False,33.59047213508814,740.7686415059209,11.725367714928968,rho_A_lite;rho_nu_lite,12,0.4,0.4,False,
lite,hva,lso_pcgrad,4,6,30,30,30,10,0.3333333333333333,False,79.40083802543018,9131.923985452459,18.87167782763864,30,10,0.3333333333333333,False,79.40083802543018,9131.923985452459,18.871677827638653,rho_A_lite;rho_nu_lite,10,0.3333333333333333,0.3333333333333333,False,
lite,hva,lso_pcgrad,4,8,30,30,30,11,0.36666666666666664,False,30.98064720052307,2043.2579518216437,12.183156556374886,30,11,0.36666666666666664,False,30.98064720052307,2043.2579518216437,12.183156556374879,rho_A_lite;rho_nu_lite,11,0.36666666666666664,0.36666666666666664,False,
